,,,,,,,
Data Point Details,,,,,,,
,,,,,,,
Container,Material,Material Desc,Data Point Desc,Data Point  Value,High Limit,Result,Submitter
26575879-008,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,8.8,9.04,PASS,gallarb
26575879-008,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,3.635,5.34,PASS,gallarb
26575879-008,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,4.745,9.04,PASS,gallarb
26575879-008,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,2.835,5.34,PASS,gallarb
26575879-009,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,3.455,5.34,PASS,chavj11
26575879-009,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,4.76,9.04,PASS,chavj11
26575879-009,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,1.005,5.34,PASS,chavj11
26575879-009,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,0.655,5.34,PASS,chavj11
26575879-009,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,5.77,9.04,PASS,chavj11
26575879-009,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,5.005,8.34,PASS,chavj11
26575879-009,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,8.49,9.04,PASS,chavj11
26575879-009,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,3.855,5.34,PASS,chavj11
26575879-009,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,6.61,9.04,PASS,chavj11
26575879-009,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,5.12,5.34,PASS,chavj11
26575879-010,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,3.655,5.34,PASS,chavj11
26575879-010,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,5.565,9.04,PASS,chavj11
26575879-010,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,1.06,5.34,PASS,chavj11
26575879-010,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,0.52,5.34,PASS,chavj11
26575879-010,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,5.89,9.04,PASS,chavj11
26575879-010,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,7.165,8.34,PASS,chavj11
26575879-010,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,7.845,9.04,PASS,chavj11
26575879-010,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,5.005,5.34,PASS,chavj11
26575879-010,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,5.165,9.04,PASS,chavj11
26575879-010,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,3.455,5.34,PASS,chavj11
26575879-011,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,3.42,5.34,PASS,chavj11
26575879-011,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,4.895,9.04,PASS,chavj11
26575879-011,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,0.92,5.34,PASS,chavj11
26575879-011,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,1.23,5.34,PASS,chavj11
26575879-011,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,5.68,9.04,PASS,chavj11
26575879-011,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,7.69,8.34,PASS,chavj11
26575879-011,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,7.89,9.04,PASS,chavj11
26575879-011,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,4.485,5.34,PASS,chavj11
26575879-011,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,6.81,9.04,PASS,chavj11
26575879-011,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,3.3,5.34,PASS,chavj11
26575879-012,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,4.61,5.34,PASS,gallarb
26575879-012,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,4.955,9.04,PASS,gallarb
26575879-012,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,2.25,5.34,PASS,gallarb
26575879-012,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,0.58,5.34,PASS,gallarb
26575879-012,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,6.275,9.04,PASS,gallarb
26575879-012,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,3.47,8.34,PASS,gallarb
26575879-012,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,8.58,9.04,PASS,gallarb
26575879-012,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,3.59,5.34,PASS,gallarb
26575879-012,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,5.22,9.04,PASS,gallarb
26575879-012,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,5.23,5.34,PASS,gallarb
26575879-013,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,4.105,5.34,PASS,gallarb
26575879-013,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,6.555,9.04,PASS,gallarb
26575879-013,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Close,3.635,5.34,PASS,gallarb
26575879-013,50550785-01,TOP ASSY ERCP SCOPE,Rec Elevator Lever Open,0.93,5.34,PASS,gallarb
26575879-013,50550785-01,TOP ASSY ERCP SCOPE,Rec Left 90,5.08,9.04,PASS,gallarb
26575879-013,50550785-01,TOP ASSY ERCP SCOPE,Rec L/R Lock Force,3.13,8.34,PASS,gallarb
26575879-013,50550785-01,TOP ASSY ERCP SCOPE,Rec Right 125,8.555,9.04,PASS,gallarb
26575879-013,50550785-01,TOP ASSY ERCP SCOPE,Rec U/D Lock Force,4.345,5.34,PASS,gallarb
26575879-013,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 130,4.62,9.04,PASS,gallarb
26575879-013,50550785-01,TOP ASSY ERCP SCOPE,Rec Up 70,2.665,5.34,PASS,gallarb
26575879-014,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 70,3.98,5.34,PASS,avilaa1
26575879-014,50550785-01,TOP ASSY ERCP SCOPE,Rec Down 95,4.655,9.04,PASS,avilaa1
