26575879-038,50550785-01,TOP ASSY ERCP SCOPE,4.34,6.11,5.2,0.555,6.565,3.26,5.535,4.34,4.99,2.485,PASS,chavj11
26575879-039,50550785-01,TOP ASSY ERCP SCOPE,4.565,4.72,2.265,5.93,6.655,4.17,7.69,4.735,6.73,5.135,FAIL,chavj11
26575879-040,50550785-01,TOP ASSY ERCP SCOPE,4.085,6.64,3.22,0.57,6.835,7.57,8.16,3.435,5.44,3.76,PASS,chavj11
26575879-041,50550785-01,TOP ASSY ERCP SCOPE,3.335,6.89,1.065,5.29,5.87,8.005,7.89,5.28,7.14,4.56,PASS,chavj11
26575879-042,50550785-01,TOP ASSY ERCP SCOPE,4.135,5.69,5.3,0.525,6.76,2.94,7.63,2.875,5.035,2.225,PASS,chavj11
26575879-043,50550785-01,TOP ASSY ERCP SCOPE,3.09,5.16,2.765,0.55,7.98,4.195,5.865,4.48,5.475,3.34,PASS,chavj11
26575879-044,50550785-01,TOP ASSY ERCP SCOPE,3.465,5.67,1.225,0.515,5.48,5.975,7.885,4.2,5.77,4.555,PASS,chavj11
26575879-045,50550785-01,TOP ASSY ERCP SCOPE,5.34,4.14,1.02,0.72,4.61,5.49,6.755,5.34,5.99,3.005,FAIL,chavj11
26575879-046,50550785-01,TOP ASSY ERCP SCOPE,3.51,5.675,0.93,0.75,5.585,7.99,7.405,4.255,5.03,2.09,PASS,chavj11
26575879-047,50550785-01,TOP ASSY ERCP SCOPE,4.46,7.14,2.515,0.75,7.3,6.175,7.59,3.835,4.805,3.275,PASS,chavj11
26575879-048,50550785-01,TOP ASSY ERCP SCOPE,2.88,5.68,1.175,0.52,3.4,3.525,7.8,4.975,4.545,3.3,PASS,chavj11
26575879-049,50550785-01,TOP ASSY ERCP SCOPE,3.565,4.685,1.45,1.055,6.085,4.61,7.445,5.285,4.56,2.655,PASS,chavj11
26575879-051,50550785-01,TOP ASSY ERCP SCOPE,3.975,4.715,1.835,5.3,9.5,4.085,8.075,3.295,5.185,3.475,FAIL,chavj11
26575879-052,50550785-01,TOP ASSY ERCP SCOPE,4.23,4.695,3.215,0.855,5.6,3.78,7.165,3.765,5.965,4.31,PASS,chavj11
26575879-053,50550785-01,TOP ASSY ERCP SCOPE,3.455,5.36,1.45,0.69,4.51,4.495,6.24,3.705,4.56,2.99,PASS,chavj11
26575879-054,50550785-01,TOP ASSY ERCP SCOPE,2.14,4.12,1.05,0.46,5.505,7.84,7.225,3.89,4.96,2.765,PASS,gallarb
26575879-055,50550785-01,TOP ASSY ERCP SCOPE,3.76,5.67,0.715,0.54,4.835,5.67,6.37,4.78,5.65,3.66,PASS,gallarb
26575879-056,50550785-01,TOP ASSY ERCP SCOPE,2.345,3.565,1.275,0.98,4.61,4.67,6.78,4.215,6.755,4.56,PASS,gallarb
26575879-057,50550785-01,TOP ASSY ERCP SCOPE,4.685,5.355,1.225,0.51,4.48,3.45,8.755,4.445,5.69,2.74,PASS,gallarb
26575879-058,50550785-01,TOP ASSY ERCP SCOPE,4.34,5.865,2.545,0.42,5.795,4,7.545,4.55,5.095,5.43,FAIL,gallarb
26575879-059,50550785-01,TOP ASSY ERCP SCOPE,2.9,3.58,0.815,0.72,6.135,3.41,8.99,4.56,5.06,3.27,PASS,gallarb
26575879-060,50550785-01,TOP ASSY ERCP SCOPE,4.55,5.43,1.095,0.915,6.035,3.38,8.645,4.575,5.255,3.345,PASS,gallarb
26575879-061,50550785-01,TOP ASSY ERCP SCOPE,3.705,4.445,2.56,0.96,5.37,2.52,6.475,3.055,5.85,3.385,PASS,gallarb
26575879-062,50550785-01,TOP ASSY ERCP SCOPE,4.93,5.845,1.845,1.2,4.975,5.68,7.95,3.3,5.73,3.485,PASS,gallarb
26575879-063,50550785-01,TOP ASSY ERCP SCOPE,3.455,4.46,0.955,0.985,3.23,4.44,6.91,3.96,4.895,5.32,FAIL,gallarb
26575879-064,50550785-01,TOP ASSY ERCP SCOPE,3.685,5.67,1.005,0.52,7.31,4.225,6.79,3.295,4.575,2.805,PASS,chavj11
26575879-065,50550785-01,TOP ASSY ERCP SCOPE,3.455,6.72,1.43,0.715,6.62,2.54,6.785,3.79,5.67,3.45,PASS,chavj11
26575879-066,50550785-01,TOP ASSY ERCP SCOPE,4.505,5.58,1.515,1.62,3.677,9,7.36,4.555,4.985,3.17,REWORK,chavj11
26575879-067,50550785-01,TOP ASSY ERCP SCOPE,2.765,3.67,1.52,0.89,5.93,5.655,8.295,5.01,4.775,3.65,PASS,chavj11
26575879-068,50550785-01,TOP ASSY ERCP SCOPE,4.785,5.26,1.48,0.805,5.31,2.615,7.86,3.685,5.615,3.49,PASS,chavj11
26575879-069,50550785-01,TOP ASSY ERCP SCOPE,3.965,7.675,2.14,1.015,6.32,4.295,8.59,2.45,5.415,3.155,PASS,chavj11
26575879-070,50550785-01,TOP ASSY ERCP SCOPE,2.345,3.81,1.05,0.825,6.28,6.36,6.665,4.06,6.43,3.755,PASS,chavj11
26575879-071,50550785-01,TOP ASSY ERCP SCOPE,3.46,6.16,1.035,0.775,6.125,3.635,8.225,4.56,5.195,3.455,PASS,chavj11
26575879-072,50550785-01,TOP ASSY ERCP SCOPE,3.03,4.195,1.33,1.29,4.93,4.495,7.62,2.87,4.785,2.375,PASS,chavj11
26575879-073,50550785-01,TOP ASSY ERCP SCOPE,4.9,7.03,1.96,0.77,4.98,4.73,6.84,3.425,5.125,3.21,PASS,chavj11
26575879-074,50550785-01,TOP ASSY ERCP SCOPE,3.8,7.155,1.455,0.675,5.375,3.355,7.12,3.405,5.7,4,PASS,chavj11
